num,x,y,z,PID_X,PID_Y,servo1_angle,servo2_angle,servo3_angle
0,-29,34,-1,321.91019301586255,-277.2367471274632,0,0,0
1,-20,20,-9,72.33061103584666,-114.02380068096939,0.0,0.0,0.0
2,-11,11,-3,-19.881996967592585,46.58719434158024,23.149834644669827,6.550038933063555,-9.73371080130273
3,-6,3,5,-24.691241642359984,-47.229224784358934,-8.776157621220701,-0.5953050894230681,3.113924272129811
4,-2,0,5,129.82917816228706,-85.57688687036605,2.113146274680436,-7.654112357257791,1.8398826432645548
5,1,-2,5,142.56195723736096,-90.75895819224621,25.658820891352587,17.966323969072366,-14.309308305663237
6,3,-3,4,166.05456465153654,-110.61389073406777,26.846476074467937,19.769820797470153,-15.264848564988265
7,4,-3,-1,195.70115661621094,-137.55430890548132,29.010323369391983,22.606405887483287,-16.84529898605005
8,5,-3,1,195.56692171096802,-138.38440345061503,29.98131566653384,25.99638395717691,-18.22065295245186
9,6,-4,1,177.4800165162094,-144.9150009594555,0.0,0.0,0.0
10,6,-6,0,158.36853749956722,-158.49220104217528,0.0,0.0,0.0
11,7,-8,-6,148.38270466351725,-139.7373670277938,0.0,0.0,0.0
12,8,-10,-8,142.76284876219492,-136.3070721743162,0.0,0.0,0.0
13,9,-12,-8,132.34525285526178,-130.69182055130355,0.0,0.0,0.0
14,9,-12,-8,160.26752843856812,-144.41614923477172,29.331641864253907,16.637305875712446,-14.994446556048796
15,9,-12,-7,157.76957788467408,-142.67533235549925,0.0,0.0,0.0
16,8,-12,-6,155.42744722366334,-158.64701843643283,0.0,0.0,0.0
17,8,-11,-6,169.71977765769248,-142.78254976272584,0.0,0.0,0.0
18,8,-11,-8,154.14264278411864,-141.40694646835325,0.0,0.0,0.0
19,8,-14,-9,101.75201402465638,-139.917485332489,0.0,0.0,0.0
20,8,-16,-7,76.29201689941748,-139.21598939895628,28.15783773304199,10.905503522127608,-12.730410922702285
21,8,-20,-6,2.04966557655176,-138.53530054092406,25.821842231188874,6.196447799276713,-10.437955379577
22,8,-22,-7,61.90509925259397,-137.73053998947142,15.995577692845814,-7.883587468984722,-2.6442288127064133
23,9,-25,-7,12.927287031292465,-104.61444683640158,24.129646658253684,3.530248774316701,-9.020784161302664
24,9,-28,-7,0.364756487858088,-133.12618818283082,14.382345227023814,-4.159962509322173,-3.360416745608168
25,9,-27,-7,116.43601272846603,-132.29384336471557,15.253959996689149,-7.9499114694596145,-2.3840117769925326
26,9,-26,-6,113.36088697744434,-131.3579981803894,28.594897511690473,13.825583184640594,-13.838949362599203
27,10,-25,-5,117.70394681831968,-98.10394378760682,28.32577983283052,13.315030326102365,-13.587483732870664
28,10,-23,-6,150.44016058395795,-126.53112516403198,25.883415098901587,15.413334415803822,-13.539006363907149
29,12,-22,-5,122.32783654796147,-60.67135350710642,29.685166363695995,19.74573431421736,-16.122591968093356
30,15,-22,-7,89.97402305603026,-33.626154208562625,22.843694357648737,17.901647394306913,-13.40704374781888
31,18,-23,-8,55.500225143638644,-10.801228252669318,16.697880449709544,14.007227231993012,-10.163426084234747
32,22,-23,-10,82.12197475433348,32.034537382945985,9.518605203821,9.404609643557379,-6.29174291284553
33,23,-20,-11,177.37036306277582,-48.625600003905504,8.347683125581202,16.636338804777917,-8.269258326188995
34,3,15,-11,311.84477813518106,-192.45660328612678,25.45814753715302,26.0969303597912,-16.852822040548144
35,2,16,-7,236.19781113129608,-154.18880061363228,0.0,0.0,0.0
36,-1,16,-11,247.71207590103148,-160.17794363586458,0.0,0.0,0.0
37,-2,16,-10,252.22943429946898,-170.5174165486898,0.0,0.0,0.0
38,-2,15,-8,238.33144979446806,-158.082905960083,0.0,0.0,0.0
39,-2,15,-9,257.3571702003479,-159.08488426208496,0.0,0.0,0.0
40,-2,14,-8,243.4545327386177,-160.00458526611328,0.0,0.0,0.0
41,-2,14,-7,262.0059067726135,-160.99718627929687,0.0,0.0,0.0
42,-2,14,-9,265.7239914894104,-161.92208747863768,0.0,0.0,0.0
43,-2,15,-9,286.3627675108725,-162.93059005737305,0.0,0.0,0.0
44,-3,15,-10,276.8793145179749,-181.7583464968434,0.0,0.0,0.0
45,-5,14,-8,264.4398467320208,-201.86808847279548,0.0,0.0,0.0
46,-7,13,-7,263.7692406899764,-211.7589516686003,0.0,0.0,0.0
47,-8,12,-8,265.3896974232437,-201.8895043300543,0.0,0.0,0.0
48,-10,10,-7,246.47399021332333,-226.2976702718717,0.0,0.0,0.0
49,-11,8,-7,-237.04021293153863,-216.98904564115944,0.0,0.0,0.0
50,-12,6,-9,-243.22948452104248,-224.13322446592892,0.0,0.0,0.0
51,-13,6,-11,-212.14936065673828,-229.76760226196419,0.0,0.0,0.0
52,-16,10,-6,-138.79235428675727,-273.68514077187723,0.0,0.0,0.0
53,-18,19,-5,-44.19289536630883,-267.2223305928697,0.0,0.0,0.0
